{'domain': 'loki-zzbm.yun.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '张振辉-域名失效无解析'}
{'domain': '9e23fb952b116917.qaxanyu.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '4bae58f06ceda8f9.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '0d72579abecfa03b.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': 'fe808fa886b159e0.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '2337234198950edc.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '0ad34f1d4d94513e.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '44298ec30c53fb17.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '45a7a361a6d71f32.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '39927cecefd006b3.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '375b5b4b82f93c1a.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': 'ea4c400f347c9ed5.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': 'e2f3e39971052829.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '5968d20b45dd9c9a.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': 'mysql12079w.yun.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '张振辉-域名失效无解析'}
{'domain': '8cf3bbf4a45081a7.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': 'mysql12083w.yun.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '张振辉-域名失效无解析'}
{'domain': 'b68fd82edd281b1a.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '29d1c2571eca44f1.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': 'c797b74a796bf49f.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '1a4ef05e4246e715.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '31cb754595588ec6.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '1a920b8c4f92ba86.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '4196de0e79294248.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '690ed1ced472670b.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': 'd1cfb81bc50a1ddb.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '9c9a2eff2583981c.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '1ac54427813be677.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '197ab0eca2246de8.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': 'add81e8f0e18cfd6.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': 'fc5006ef88e403ee.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': 'e197330c40ad85b7.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '4c1f489f5081c07c.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '51770af8fb890bac.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': 'ff8d3165d97d117d.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '5ad0e04bb90232cb.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '11a9ffc84839b001.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': 'b13559e4aec46b99.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '79d429d7a15b0ade.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': 'ca9d4371ed0bfa28.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '96e603581bdea09c.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '114.xhaoma.com', 'domainType': 'Internet', 'isUse': 0, 'note': '王喜庆-域名失效无解析'}
{'domain': '6120e5fa49709fc6.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': 'b7a2afb9cf714a2a.qaxcloudwaf.com', 'domainType': 'Internet', 'isUse': 0, 'note': '吴健雄-域名失效无解析'}
{'domain': '10002.cttest.xhaoma.net', 'domainType': 'Internet', 'isUse': 0, 'note': '王喜庆-域名失效无解析'}
